title,artist,bpm,music_length,chart_length,stop_count,difficulty_name,difficulty_level,stream,voltage,air,freeze,chaos,notes,taps_and_holds,jumps,holds,rolls,crossovers,half_crossovers,full_crossovers,footswitches,up_footswitches,down_footswitches,sideswitches,jacks,brackets,doublesteps,peak_nps,mean_nps,median_nps,min_nps,stdev_nps,song_id,eamuse_id
DYNAMITE RAVE,NAOKI,150.5,123.28,86.4,0,Expert,12,0.4832,0.4786,0.1541,0,0.1582,417,398,19,0,0,3,0,3,0,0,0,0,0,2,1,5.625,4.523,5,0.625,1.147,126,1QIPID18qib8D9Oo9lOo8I6DPi9qiod6
DYNAMITE RAVE,NAOKI,150.5,123.28,86.4,0,Challenge,12,0.4682,0.4786,0.3407,0.0568,0.1744,404,362,42,7,0,30,16,14,6,2,4,2,0,7,1,6.25,4.114,4.375,0.625,1.158,126,1QIPID18qib8D9Oo9lOo8I6DPi9qiod6
VANITY ANGEL,FIXX,137.5,123.28,84.43,0,Expert,12,0.3778,0.4401,0.0081,0.146,0.4786,326,325,1,18,0,1,0,1,5,2,3,0,0,0,0,5.833,3.869,4.083,0.583,1.14,411,DDqDDqDQ1Db60IiIDbIl6Pd8DPOq0q06
LOGICAL DASH,DJ TAKA,127.886,123.28,66.65,0,Challenge,13,0.3928,0.3921,0.1622,0.1785,0.2434,339,319,20,22,0,14,2,12,1,0,1,0,0,2,0,7.201,4.786,4.801,2.4,0.994,415,8O86IP9dqQ8818ld9od8Q0PiDId6666P
LOVE♥SHINE,小坂りゆ,177.34,123.28,91.86,0,Challenge,13,0.5122,0.5165,0.292,0.4299,0.0568,442,406,36,53,0,13,0,13,3,1,2,0,13,4,0,5.9,4.404,4.425,2.213,0.936,429,qIP6DPdbD9iO86i1DO9qDd8l6dPdbl0P
PARANOIA survivor,270,270.677,123.28,83.33,0,Expert,15,0.6119,0.6878,0.1541,0.0406,0.0406,528,509,19,5,0,19,9,10,3,3,0,0,0,4,1,9.001,6.352,6.749,1.125,1.616,430,O9Id8Qi6OIDIQ6bPi610q0001l1P099q
KISS KISS KISS,NAOKI feat. SHANTI,150.628,123.28,95.96,0,Expert,12,0.4149,0.459,0.2109,0.2515,0.0324,358,332,26,31,0,23,6,17,10,4,6,3,0,0,1,6.252,3.579,3.126,1.876,0.757,436,qIoDdQ1OOoPO8Q1Io0P168161DODPoqb
L'amour et la liberté(DDR Ver.),NAOKI underground,140,123.28,88.37,0,Expert,12,0.3569,0.4253,0,0.0162,0.511,308,308,0,2,0,16,14,2,2,2,0,0,0,0,3,4.833,3.506,3.625,1.167,0.933,438,8IIoIQQqlooiI6QD9ldIO6qidP98QP68
Destiny lovers,くにたけみゆき,170,123.28,85.06,0,Expert,13,0.4496,0.58,0.2434,0.1217,0.1298,388,358,30,15,0,29,22,7,2,1,1,0,0,6,4,7.083,4.226,4.25,0.708,1.181,440,1diQi81loIodIdOlQ8Pd6Qd8b69Q1DP8
Destiny lovers,くにたけみゆき,170,123.28,85.06,0,Challenge,16,0.6119,0.7382,0.2515,0.2677,0.5151,528,497,31,33,0,7,2,5,9,6,3,1,0,12,0,10.625,5.867,6.021,0.708,2.526,440,1diQi81loIodIdOlQ8Pd6Qd8b69Q1DP8
The Least 100sec,Hirofumi Sasaki,264.706,123.28,90.15,0,Expert,12,0.5076,0.6464,0.073,0.0324,0.0162,438,429,9,4,0,15,2,13,1,1,0,2,0,3,0,6.59,4.913,4.393,1.667,0.827,441,lO68Q0iPIOiOIDDd8dOPoiql9OI81DQ0
The Least 100sec,Hirofumi Sasaki,264.706,123.28,90.15,0,Challenge,18,0.9271,1.0343,1.0708,0.0487,0.1095,800,668,132,6,0,32,13,19,18,10,8,3,0,36,1,9.885,7.657,7.688,1.667,1.495,441,lO68Q0iPIOiOIDDd8dOPoiql9OI81DQ0
Gamelan de Couple,TOMOSUKE,150,123.28,76.8,0,Expert,12,0.3511,0.3723,0.0406,0,0.3245,303,298,5,0,0,15,10,5,2,1,1,0,0,0,5,5.625,3.963,3.75,0.625,0.96,442,69qoD0l6olQqqbl09b069q898b600I6o
Gamelan de Couple,TOMOSUKE,150,123.28,76.8,0,Challenge,16,0.5922,0.6206,0.219,0,0.6773,511,484,27,0,0,7,2,5,9,5,4,0,0,2,0,9.375,6.436,6.875,0.625,1.782,442,69qoD0l6olQqqbl09b069q898b600I6o
